fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220426 232414	-0.575833502353635	5095	203	10	5	8562000	1
20220426 232457	-0.495313277727109	3872	1034	19	5	9798000	2
20220426 232542	-0.255913022026652	3278	930	18	5	10451000	3
20220426 232616	-0.871603928826516	7725	1463	9	5	8161000	4
20220426 232659	-0.652368842416035	4746	442	12	5	8992000	5
20220426 232738	-0.13830508801766	5687	1710	17	5	8506000	6
20220426 232809	-0.411986142871319	4344	1357	6	5	9462000	7
20220426 232851	-0.834206554872799	7333	293	11	5	8087000	8
20220426 232909	0.0681590567211972	6678	1509	3	5	0	9
20220426 232937	-0.227655759123445	1507	8	5	5	9494000	10
20220426 233016	-0.720655314973556	6021	1754	15	5	8506000	11
20220426 233051	-0.28546345921699	7055	638	8	5	8190000	12
20220426 233131	-0.658297326010652	3514	1747	14	5	9661000	13
20220426 233213	-0.43953051791992	3058	824	20	5	10618000	14
20220426 233243	-0.982693607714027	6309	377	6	5	8219000	15
20220426 233323	-0.894927421980537	7713	401	15	5	8087000	16
20220426 233413	-0.369377000304015	1250	625	16	5	10253000	17
20220426 233454	-0.3391002265676	3578	1789	20	5	9538000	18
20220426 233603	-0.23544335267978	2961	1	20	5	9711000	19
20220426 233644	-0.440520921729816	2109	856	12	5	10239000	20
20220426 233727	-0.196311634259819	1708	851	20	5	10249000	21
20220426 233811	-0.788551484502328	1592	796	20	5	10756000	22
20220426 233831	-0.785099199635824	1692	846	3	5	8575000	23
20220426 233917	-0.674238531796325	1204	602	20	5	10337000	24
20220426 233956	-0.876295883160457	2571	1285	20	5	9646000	25
20220426 234110	-0.808492405913058	7	2	20	5	3795000	26
20220426 234150	-0.687322783779737	1932	962	20	5	10176000	27
20220426 234229	-0.384797341051185	2786	1390	15	5	9305000	28
20220426 234310	-0.258760582905427	3383	607	20	5	10461000	29
20220426 234353	-0.999302194529762	3165	599	20	5	10698000	30
20220426 234428	-0.496346437256729	3319	648	8	5	10461000	31
20220426 234511	-0.999903673119348	1708	628	20	5	10300000	32
20220426 234551	-0.852755976468474	3348	740	20	5	10493000	33
20220426 234633	-0.639602981113803	3025	583	18	5	10778000	34
20220426 234714	-0.679290741614249	1404	696	10	5	10249000	35
20220426 234732	0.0992126378571801	3059	562	11	5	0	36
20220426 234814	-0.584369387454793	2476	713	19	5	10403000	37
20220426 234856	-0.776081027488682	2991	626	15	5	10778000	38
20220426 234931	-0.293296742577708	7998	2000	20	5	8239000	39
20220426 235013	-0.751420164556417	2743	693	20	5	10296000	40
20220426 235054	-0.999778256547091	3245	762	14	5	10508000	41
20220426 235138	-0.626354558560478	1635	581	17	5	9964000	42
20220426 235219	-0.407368281736429	3391	648	14	5	10461000	43
20220426 235301	-0.64390915191915	3121	770	12	5	10766000	44
20220426 235339	-0.275862676048103	1373	685	8	5	9999000	45
20220426 235420	-0.924772595594983	3100	623	18	5	10698000	46
20220426 235502	-0.286938430643859	1470	735	20	5	10402000	47
20220426 235543	-0.572633771011955	3161	690	18	5	10488000	48
20220426 235624	-0.666862489507213	2944	661	15	5	10778000	49
20220426 235705	-0.824757327962463	2980	621	14	5	10778000	50
20220426 235733	-0.359998487264838	3121	210	5	5	10389000	51
20220426 235808	-0.999548518285648	3896	1948	17	5	8653000	52
20220426 235848	-0.802401861548426	2989	755	15	5	10588000	53
20220426 235929	-0.671581264758888	3169	413	10	5	10542000	54
20220427 000014	-0.855823793949084	1359	677	14	5	10215000	55
20220427 000105	-0.999837940716023	3524	14	14	5	8980000	56
20220427 000124	-0.471087348964369	6377	2000	3	5	8161000	57
20220427 000200	-0.290409383482222	5299	1064	20	5	8874000	58
20220427 000243	-0.365738501624683	2443	591	19	5	10392000	59
20220427 000326	-0.653312409722653	3055	604	13	5	10698000	60
20220427 000408	-0.815127842485222	3198	548	16	5	10698000	61
20220427 000449	-0.639112670734929	3033	789	19	5	10847000	62
20220427 000530	-0.881038368796213	3310	593	10	5	10461000	63
20220427 000620	-0.442905619185514	3284	337	20	5	10665000	64
20220427 000706	-0.27640041523838	3100	318	16	5	10665000	65
20220427 000742	-0.201983191120894	4023	2000	18	5	8905000	66
20220427 000819	-0.419496973979348	3129	349	9	5	10665000	67
20220427 000907	-0.235277566670552	1159	343	20	5	10405000	68
20220427 000952	-0.335819887770394	3349	345	19	5	10428000	69
20220427 001025	-0.241035056867691	3423	271	7	5	9984000	70
20220427 001107	-0.999339098864067	3225	582	15	5	10698000	71
20220427 001127	-0.439037887800763	3248	474	3	5	8547000	72
20220427 001207	-0.372852485788279	2990	181	10	5	10067000	73
20220427 001241	-0.413778178460824	2350	409	7	5	10667000	74
20220427 001323	-0.64128402345768	3180	586	19	5	10698000	75
20220427 001359	-0.651886483644073	2988	831	8	5	10698000	76
20220427 001432	-0.43854649099611	2950	271	7	5	10178000	77
20220427 001505	-0.339418943176499	2579	378	7	5	10641000	78
20220427 001543	-0.404969208064905	2924	792	9	5	10734000	79
20220427 001624	-0.999278488220505	2997	864	20	5	10709000	80
20220427 001700	-0.51220776061268	3457	1704	9	5	9614000	81
20220427 001745	-0.418578598046892	3018	416	18	5	10622000	82
20220427 001817	-0.367058755705913	737	365	6	5	10254000	83
20220427 001856	-0.776291750421962	2944	594	10	5	10778000	84
